Rose,,,,54391,Rose Yel High & Exot 50cm,,1.49,1.49,1,25,,,Stem
Rose,,,,46870,Rose Yel High & Exot 60cm,,1.59,1.59,1,25,,,Stem
Rose,,,,63370,Rose Yel Momentum 50cm,,1.49,1.49,1,25,,,Stem
Rose,,,,47260,Rose Yel Momentum 60cm,,1.59,1.59,1,25,,,Stem
Rose,,,,46851,Rose Yel Stardust 60cm,,1.59,1.59,1,25,,,Stem
Rose,,,,56951,Rose Yel Summer Rom. 50cm,,1.49,1.49,1,25,,,Stem
Rose,,,,46848,Rose Yel Turtle 50cm,,1.49,1.49,1,25,,,Stem
Rose Petals,,,,53249,Rose Petals Wht,,10.99,10.99,1,5,,,Bag
Saxicola Pink,,,,21560,Saxicola Pink,,0.899,8.99,10,1,,,Bu
Scabiosa,,,,43040,Scabiosa Pink Candy Scoop,,1.3,13.00,10,1,,,Bu
Scabiosa,,,,42693,Scabiosa White Milky Scoop,,1.3,13.00,10,1,,,Bu
Scabiosa Pod,,,,29506,Pods Scabiosa Stellata 10st,,1.499,14.99,10,1,,,Bu
Snapdragon,,,,23677,Snapdragon Burgundy California,,1.799,17.99,10,1,,,Bu
Snapdragon,,,,23679,Snapdragon Lavender California,,1.799,17.99,10,1,,,Bu
Snapdragon,,,,23669,Snapdragon Pink Tall Canada,,1.699,16.99,10,1,,,Bu
Snapdragon,,,,23665,Snapdragon Pink-Hot Tall,,1.699,16.99,10,1,,,Bu
Snapdragon,,,,25831,Snapdragon Purple Medium,,1.399,13.99,10,1,,,Bu
Snapdragon,,,,25807,Snapdragon Red Flame,,1.799,17.99,10,1,,,Bu
Snapdragon,,,,23673,Snapdragon White Tall Canada,,1.699,16.99,10,1,,,Bu
Snapdragon,,,,39094,Snapdragon Yellow 6pk Mexico,,1.299,12.99,10,6,,,Bu
Snapdragon,,,,23685,Snapdragon Yellow California,,1.799,17.99,10,1,,,Bu
Snapdragon,,,,28707,Snapdragon Yellow S.A.,,0.999,9.99,10,1,,,Bu
Snapdragon,,,,23674,Snapdragon Yellow Tall Canada,,1.699,16.99,10,1,,,Bu
Snowberry ,,,,38121,Snowberry White 60/70cm Chile,,1.599,15.99,10,1,,,Bu
Snowberry  ,,,,47327,Snowberry Pink/Wht Picotee,,1.599,15.99,10,1,,,Bu
Specialty Ranunculus,,,,27775,Ranunculus Berry Capp XXL 5st,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,17900,Ranunculus Asst XXL 5st 5pk,,2.398,11.99,5,5,,,Bu
Specialty Ranunculus,,,,17887,Ranunculus Chocolate XL 10st,,2.999,29.99,10,1,,,Bu
Specialty Ranunculus,,,,17886,Ranunculus Chocolate XXL 5st,,3.798,18.99,5,1,,,Bu
Specialty Ranunculus,,,,69713,Ranunculus Coral Desert XL 10s,,3.799,37.99,10,1,,,Bu
Specialty Ranunculus,,,,42785,Ranunculus Coral Fragolino XXL,,3.798,18.99,5,1,,,Bu
Specialty Ranunculus,,,,17866,Ranunculus Pch Grand Pastel XX,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,42771,Ranunculus Pink Blush Clooney,,3.999,39.99,10,1,,,Bu
Specialty Ranunculus,,,,41190,Ranunculus Pink Blush XL 10st,,3.799,37.99,10,1,,,Bu
Specialty Ranunculus,,,,17840,Ranunculus Pink Blush XXL 5st,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,45447,Ranunculus Pink Dark Clooney I,,3.499,34.99,10,1,,,Bu
Specialty Ranunculus,,,,41192,Ranunculus Pink Hot XL 10st,,3.799,37.99,10,1,,,Bu
Specialty Ranunculus,,,,17865,Ranunculus Pink Hot XXL 5st Ca,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,17904,Ranunculus Pink Lady XXL 5st,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,69722,Ranunculus Pink Lt Confetto XX,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,17896,Ranunculus Pink Lt XXL 5st,,3.798,18.99,5,1,,,Bu
Specialty Ranunculus,,,,69711,Ranunculus Pink Romance XXL 5s,,3.998,19.99,5,1,,,Bu
Specialty Ranunculus,,,,69714,Ranunculus Pink Ruffle XL 10st,,3.799,37.99,10,1,,,Bu
Specialty Ranunculus,,,,49382,Ranunculus Pink Ruffle XXL 5st,,3.998,19.99,5,1,,,Bu
Specialty Ranunculus,,,,41191,Ranunculus Plum XL 10st,,3.799,37.99,10,1,,,Bu
Specialty Ranunculus,,,,17883,Ranunculus Plum XXL 5st,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,17884,Ranunculus Princess Peach XXL,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,41196,Ranunculus Red XL 10st,,2.999,29.99,10,1,,,Bu
Specialty Ranunculus,,,,45242,Ranunculus Red XXL 5st,,3.798,18.99,5,1,,,Bu
Specialty Ranunculus,,,,69718,Ranunculus Striato Pastel XXL,,4.998,24.99,5,1,,,Bu
Specialty Ranunculus,,,,45400,Ranunculus White Clooney Italy,,3.999,39.99,10,1,,,Bu
Specialty Ranunculus,,,,41193,Ranunculus White XL 10st,,3.799,37.99,10,1,,,Bu
Specialty Ranunculus,,,,17841,Ranunculus White XXL 5st,,3.798,18.99,5,1,,,Bu
Specialty Ranunculus,,,,69710,Ranunculus Yellow Romance XXL,,3.998,19.99,5,1,,,Bu
Specialty Ranunculus,,,,17898,Ranunculus Yellow XXL 5st,,3.998,19.99,5,1,,,Bu
Spirea  ,,,,49674,Spirea White Kodemari 80-110cm,,4.999,49.99,10,1,,,Bu
Spirea  ,,,,53070,Spirea White Thunbergii 10stem,,3.499,34.99,10,1,,,Bu
Spray Rose,,,,29014,SpRose Asst 40cm Cs12,,0.999,9.99,10,12,,,Bu
Spray Rose,,,,61006,SpRose Asst 40cm DVF Cs12,,0.999,9.99,10,12,,,Bu
Spray Rose,,,,23516,SpRose Asst 50cm Cs10,,0.999,9.99,10,10,,,Bu
Spray Rose,,,,69708,SpRose Crm Gard Cluster 5st,,1.2,6.00,5,1,,,Bu
Spray Rose,,,,58806,SpRose Crm New Moon 60cm,,1.899,18.99,10,1,,,Bu
Spray Rose,,,,56806,SpRose Htpk Bril Star 50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,49958,SpRose HtPk Gem Star 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,23521,SpRose Htpk L Lydia 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,30960,SpRose Htpk Majolica 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,53015,SpRose Htpk Majolica 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,28592,SpRose Lav Bl Moon 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,68638,SpRose Lav Portrait 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,64145,SpRose Lav Silv Mik 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,31029,SpRose Org Babe 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,57543,SpRose Org Royal Flash 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,52566,SpRose Org Sensation 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,67023,SpRose Pch Aureus 40/50cm,,1.699,16.99,10,1,,,Bu
Spray Rose,,,,64126,SpRose Pch Baby Rosev 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,68637,SpRose Pch Capricorn 40/50cm,,1.599,15.99,10,1,,,Bu
Spray Rose,,,,23555,SpRose Pch Ilse 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,34539,SpRose Pch LtPk Bril Star 50cm,,1.599,15.99,10,1,,,Bu
Spray Rose,,,,69754,SpRose Pk Cozumel 40/50cm 5st,,0.999,9.99,10,1,,,Bu
Spray Rose,,,,64127,SpRose Pk Elba 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,23582,SpRose Pk Majolica 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,49136,SpRose Pk Majolica 50cm cs6,,1.399,13.99,10,6,,,Bu
Spray Rose,,,,64122,SpRose Pk Phuket 40cm,,1.699,16.99,10,1,,,Bu
Spray Rose,,,,27668,SpRose Pk Star Blush 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,23589,SpRose Rd Mikado 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,63089,Sprose Sal Be Joyful 50-70cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,49027,SpRose Wht Jeanine 40/50cm,,2.499,24.99,10,1,,,Bu
Spray Rose,,,,23551,SpRose Wht Majo 50cm Cs5,,1.399,13.99,10,5,,,Bu
Spray Rose,,,,62021,SpRose Wht Snoflk 50cm cs6,,1.399,13.99,10,6,,,Bu
Spray Rose,,,,52270,SpRose Wht Swt Dreams 40/50cm,,1.699,16.99,10,1,,,Bu
Spray Rose,,,,30254,SpRose Yel Babe 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,56866,SpRose Yel Bora Bora 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,25800,SpRose Yel Bril Star 40/50cm,,1.499,14.99,10,1,,,Bu
Spray Rose,,,,20502,SpRose Yel Bril Star Lemon 50c,,1.599,15.99,10,1,,,Bu
Spray Rose,,,,52440,SpRose Yel Fibo Gioconda 50cm,,1.699,16.99,10,1,,,Bu
Spray Rose,,,,64128,SpRose Yel Somerset 40/50cm,,1.499,14.99,10,1,,,Bu
Springeri,,,,G1117,Springeri,,0.699,6.99,10,1,,,Bu
Statice,,,,18279,Statice Apricot Tissue Culture,,0.729,7.29,10,1,,,Bu
Statice,,,,17732,Statice Blush Tissue CA,,0.999,9.99,10,1,,,Bu
Statice,,,,60595,Statice Purple Queens 5pk,,0.629,6.29,10,5,,,Bu
Statice,,,,24996,Statice Purple Tissue Queens,,0.729,7.29,10,1,,,Bu
Statice,,,,25043,Statice White Tissue Culture,,0.729,7.29,10,1,,,Bu
Stock,,,,40487,Stock Asst 4pk Wt/Lav S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,75101,Stock Brg Ruby Red 4pk S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,75100,Stock Cream 4pk S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,25064,Stock Lavender,,1.699,16.99,10,1,,,Bu
Stock,,,,40485,Stock Lavender S.A. 4Pk,,1.299,12.99,10,4,,,Bu
Stock,,,,25738,Stock Lavender-Dk Blue Mid,,1.699,16.99,10,1,,,Bu
Stock,,,,25063,Stock Magenta Fuchsia,,1.699,16.99,10,1,,,Bu
Stock,,,,23700,Stock Magenta Fuchsia S.A.,,1.399,13.99,10,1,,,Bu
Stock,,,,75099,Stock Magenta Fuschia 4pk S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,40504,Stock Mauve Antique 4Pk S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,39709,Stock Mauve Antique S.A.,,1.399,13.99,10,1,,,Bu
Stock,,,,26154,Stock Peach,,1.699,16.99,10,1,,,Bu
Stock,,,,75098,Stock Peach 4pk S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,40531,Stock Pink-Dark,,1.699,16.99,10,1,,,Bu
Stock,,,,25125,Stock Pink-Dk Pacific,,1.699,16.99,10,1,,,Bu
Stock,,,,25083,Stock Pink-Dk S.A. 4pk,,1.299,12.99,10,4,,,Bu
Stock,,,,17365,Stock Pink-Light 4pk S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,27977,Stock Pink-Lt Applebl 4pk,,1.299,12.99,10,4,,,Bu
Stock,,,,75125,Stock Pink-Lt Sweetheart,,1.699,16.99,10,1,,,Bu
Stock,,,,25065,Stock Pink/White Antique 4pk B,,1.299,12.99,10,4,,,Bu
Stock,,,,40341,Stock Purple 4pk S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,28308,Stock Purple S.A.,,1.399,13.99,10,1,,,Bu
Stock,,,,25141,Stock Purple Velvet,,1.699,16.99,10,1,,,Bu
Stock,,,,17366,Stock Purple-Dk S.A. 4pk,,1.299,12.99,10,4,,,Bu
Stock,,,,25068,Stock White,,1.699,16.99,10,1,,,Bu
Stock,,,,40340,Stock White 4pk S.A.,,1.299,12.99,10,4,,,Bu
Stock,,,,45094,Stock White Spray 5st 5pk,,2.198,10.99,5,5,,,Bu
Stock,,,,36714,Stock White Supreme 10pk,,1.499,14.99,10,10,,,Bu
Strawflower ,,,,21565,Strawflower Assorted 10pk,,0.899,8.99,10,10,,,Bu
Strawflower ,,,,22364,Strawflower White 10st,,1.299,12.99,10,1,,,Bu
Sunflower,,,,40484,Sunflower Vincent Lg 5st 5pk,,1.298,6.49,5,5,,,Bu
Sunflower,,,,31862,Sunflower Ylw DC FNY Vin Choic,,1.579,15.79,10,1,,,Bu
Sunflower,,,,31868,Sunflower Ylw DC SEL Vin Choic,,1.679,16.79,10,1,,,Bu
Sunflower,,,,31865,Sunflower Ylw DC XTR Vin Choic,,1.749,17.49,10,1,,,Bu
Sunflower,,,,31863,Sunflower Ylw LC FCY Vin Fresh,,1.579,15.79,10,1,,,Bu
Sunflower,,,,31869,Sunflower Ylw LC SEL Vin Fresh,,1.679,16.79,10,1,,,Bu
Sunflower,,,,31866,Sunflower Ylw LC XTR Vin Fresh,,1.749,17.49,10,1,,,Bu
Sunflower,,,,21784,Sunflower Ylw Mini DC 10st,,0.699,6.99,10,1,,,Bu
Sunflower,,,,32865,Sunflower Ylw Sunbright 5st,,1.098,5.49,5,1,,,Bu
Sunflower,,,,36598,Sunflower Ylw Vin 5st 12pk Mex,,1.098,5.49,5,12,,,Bu
Sunflower,,,,40486,Sunflower Ylw Vin Mini 10s 6pk,,0.849,8.49,10,6,,,Bu
Sunflower,,,,27533,Sunflower Ylw Vin Petite 10st,,0.999,9.99,10,1,,,Bu
Sunflower,,,,32876,Sunflower Ylw Vin Sel 5st 4pk,,1.698,8.49,5,4,,,Bu
Sunflower,,,,40483,Sunflower Ylw Vincent 5st 6pk,,1.198,5.99,5,6,,,Bu
Sunflower,,,,52076,Sunflower Ylw Vincent 8pk DVF,,1.598,7.99,5,8,,,Bu
Sweet Pea,,,,18057,Sweet Pea Lavender Japan 50st,,1.7998,89.99,50,1,,,Bu
Sweet Pea,,,,17381,Sweet Pea Light Pink 25stem,,1.5996,39.99,25,1,,,Bu
Sweet Pea,,,,43514,Sweet Pea Peach 50st,,1.9998,99.99,50,1,,,Bu
Sweet Pea,,,,18189,Sweet Pea Peach Megumi 25stem,,1.1996,29.99,25,1,,,Bu
Sweet Pea,,,,17396,Sweet Pea Pink-Hot Salmon 25st,,1.1996,29.99,25,1,,,Bu
Sweet Pea,,,,17521,Sweet Pea Pink-Light 50st,,1.5998,79.99,50,1,,,Bu
Sweet Pea,,,,51384,Sweet Pea Purple 50st,,1.7998,89.99,50,1,,,Bu
Sweet Pea,,,,18088,Sweet Pea Red Scarlet 50st,,1.7998,89.99,50,1,,,Bu
Sweet Pea,,,,18104,Sweet Pea Violet 25stem,,1.5996,39.99,25,1,,,Bu
Sweet Pea,,,,58887,Sweet Pea White 50stem,,1.7998,89.99,50,1,,,Bu
Sweetheart Rose,,,,31150,Sweetheart Rose Rd Sacha,,1.29,1.29,1,25,,,Stem
Thistle,,,,46099,Thistle Blue Bell 60cm 6pk,,0.839,8.39,10,6,,,Bu
Thistle,,,,45860,Thistle Blue Dynamite 5st 80cm,,1.798,8.99,5,1,,,Bu
Thistle,,,,17276,Thistle Blue Lagoon 50/60cm,,0.899,8.99,10,1,,,Bu
Thistle,,,,12558,Thistle Green Sirius Questar,,1.199,11.99,10,1,,,Bu
Trachellium,,,,25568,Trachelium Blue-Dark,,1.199,11.99,10,1,,,Bu
Trachellium,,,,41464,Trachelium Green Jade,,1.199,11.99,10,1,,,Bu
Trachellium,,,,25570,Trachelium White,,1.199,11.99,10,1,,,Bu
Tropicals,,,,G1388,Aspidistra 10pk,,0.339,3.39,10,10,,,Bu
Tropicals,,,,G1224,Aspidistra Variegated,,0.749,7.49,10,1,,,Bu
Tropicals,,,,G1759,Aspidistra XL,,0.399,3.99,10,1,,,Bu
Tropicals,,,,10679,Leaf Calathea White Star,,0.699,6.99,10,1,,,Bu
Tropicals,,,,34021,Leaf Calathea Zebrina,,0.699,6.99,10,1,,,Bu
Tropicals,,,,32467,Leaf Ginger Variegated 10st,,0.699,6.99,10,1,,,Bu
Tropicals,,,,37339,Leaf Monstera Jumbo/XL,,4.99,4.99,1,5,,,Stem
Tropicals,,,,10167,Leaf Monstera Large,,3.99,3.99,1,5,,,Each
Tropicals,,,,10168,Leaf Monstera Medium,,2.99,2.99,1,5,,,Each
Tropicals,,,,31205,Leaf Monstera Mini,,1.99,1.99,1,5,,,Each
Tropicals,,,,10169,Leaf Monstera Small,,2.49,2.49,1,5,,,Each
Tropicals,,,,10171,Leaf Ti Green,,0.399,3.99,10,1,,,Bu
Tropicals,,,,10172,Leaf Ti Red,,0.499,4.99,10,1,,,Bu
Tulip ,,,,38560,Tulip Asst 15pk VA,,0.699,6.99,10,15,,,Bu
Tulip ,,,,45811,Tulip Lav Candy Prince Dutch,,1.099,10.99,10,1,,,Bu
Tulip ,,,,38975,Tulip Orange VA,,0.599,5.99,10,1,,,Bu
Tulip ,,,,25181,Tulip Pink Dutch,,1.099,10.99,10,1,,,Bu
Tulip ,,,,54077,Tulip Pink Ht Dutch,,1.099,10.99,10,1,,,Bu
Tulip ,,,,35180,Tulip Pink VA,,0.899,8.99,10,1,,,Bu
Tulip ,,,,33171,Tulip Pnk Lt First Class Dutch,,1.099,10.99,10,1,,,Bu
Tulip ,,,,25162,Tulip Prp Prince Dutch,,1.099,10.99,10,1,,,Bu
Tulip ,,,,38979,Tulip White VA,,0.699,6.99,10,1,,,Bu
Tulip ,,,,38980,Tulip Yellow VA,,0.899,8.99,10,1,,,Bu
Tweedia,,,,42302,Tweedia Blue Japan,,2.499,24.99,10,1,,,Bu
Tweedia,,,,75206,Tweedia White Dutch 10stem,,2.199,21.99,10,1,,,Bu
Tweedia,,,,42301,Tweedia White Japan,,3.499,34.99,10,1,,,Bu
Tweedia,,,,17588,Tweedia White S.A.,,2.499,24.99,10,1,,,Bu
Veronica  ,,,,22157,Veronica Blue Dutch,,1.199,11.99,10,1,,,Bu
Veronica  ,,,,22159,Veronica White Dutch,,1.199,11.99,10,1,,,Bu
Waxflower,,,,33023,Waxflower Pink CA,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,27736,Waxflower Pink Dancing Queen,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,26102,Waxflower Pink Hyb CA,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,21604,Waxflower Pink Lady Stephanie,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,29113,Waxflower Pink Lollypop,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,33025,Waxflower Purple CA,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,32374,Waxflower Purple Select Peru,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,39927,Waxflower Wh Hyb/Blush Maya,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,33908,Waxflower White 50-55cm 14st,,2.6,13.00,5,1,,weighted,Bu
Waxflower,,,,27329,Waxflower White Hyb CA,,2.6,13.00,5,1,,weighted,Bu
Yarrow,,,,31478,Yarrow Asst Roots Peru 6pk,,0.699,6.99,10,6,,,Bu
Yarrow,,,,29486,Yarrow Cottage Salmon,,0.799,7.99,10,1,,,Bu
Yarrow,,,,32267,Yarrow Orange Peru 10st,,0.999,9.99,10,1,,,Bu
Yarrow,,,,35575,Yarrow White Peru,,0.799,7.99,10,1,,,Bu
Yarrow,,,,31479,Yarrow Yellow Peru,,0.799,7.99,10,1,,,Bu
